1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0
,,,,,,,,,,2,,,,,,,,,
,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,6,,2,,,,,,,
,2,,,,,,,,,8,,4,,,,,,,
,4,,,,,2,,,,7,,6,,,,,,,
,6,,,,,4,,,,6,,8,,,,,,,
,8,,,,,6,,,,5,,7,,,,,,,2
,7,,2,,,8,,,,4,,6,,,,,,,4
,6,,4,,,7,,,,3,,5,,,,,,,6
,5,,6,,,6,,,,2,,4,,,,,,,8
,4,,8,,,5,,,,1,,3,,,2,,,,7
,3,,7,,,4,,,,,,2,,,4,,,,6
,2,,6,,,3,,,2,,,1,,,6,,,,5
,1,,5,,,2,,,4,,,,,,8,,,,4
,,,4,,,1,,,6,,,,,,7,,,,3
,,,3,,,,,,8,,,,,,6,,,,2
,,,2,,,,2,,7,,,,,,5,,,,1
,,,1,,,,4,,6,,2,,,,4,,,,
,,,,,,,6,,5,,4,,,,3,,,2,
,,,,2,,,8,,4,,6,,,,2,,,4,
,,,,4,,,7,,3,,8,,,,1,,,6,
,,,,6,,,6,,2,,7,,,,,,,8,
,,,,8,,,5,,1,,6,,,,,,,7,
,,,,7,,,4,,,,5,,,,,,,6,
,,,,6,,,3,,,,4,,,,,,,5,
,,,,5,,,2,,,,3,,,,,,,4,
,,,,4,,,1,,,,2,,,,,,,3,
,,,,3,,,,,,,1,,,,,,,2,
,,,,2,,,,,,,,,,,,,,1,
,,,,1,,,,,,,,,,,,,,,
